metric,unix_ts,value
hbm_used_mib,1788782065.0,74382.0
hbm_used_mib,1788782066.0,74382.0
hbm_used_mib,1788782067.0,74382.0
hbm_used_mib,1788782068.0,74382.0
hbm_used_mib,1788782069.0,74382.0
hbm_used_mib,1788782070.0,74382.0
hbm_used_mib,1788782071.0,74382.0
hbm_used_mib,1788782072.0,74382.0
hbm_used_mib,1788782073.0,74382.0
hbm_used_mib,1788782074.0,74382.0
hbm_used_mib,1788782075.0,74382.0
hbm_used_mib,1788782076.0,74382.0
hbm_used_mib,1788782077.0,74382.0
hbm_used_mib,1788782078.0,74382.0
hbm_used_mib,1788782079.0,74382.0
hbm_used_mib,1788782080.0,74382.0
hbm_used_mib,1788782081.0,74382.0
hbm_used_mib,1788782082.0,74382.0
hbm_used_mib,1788782083.0,74382.0
hbm_used_mib,1788782084.0,74382.0
hbm_used_mib,1788782085.0,74382.0
hbm_used_mib,1788782086.0,74382.0
hbm_used_mib,1788782087.0,74382.0
hbm_used_mib,1788782088.0,74382.0
hbm_used_mib,1788782089.0,74382.0
hbm_used_mib,1788782090.0,74382.0
hbm_used_mib,1788782091.0,74382.0
hbm_used_mib,1788782092.0,74382.0
hbm_used_mib,1788782093.0,74382.0
hbm_used_mib,1788782094.0,74382.0
hbm_used_mib,1788782095.0,74382.0
hbm_used_mib,1788782096.0,74382.0
hbm_used_mib,1788782097.0,74382.0
hbm_used_mib,1788782098.0,74382.0
hbm_used_mib,1788782099.0,74382.0
hbm_used_mib,1788782100.0,74382.0
hbm_used_mib,1788782101.0,74382.0
hbm_used_mib,1788782102.0,74382.0
hbm_used_mib,1788782103.0,74382.0
hbm_used_mib,1788782104.0,74382.0
hbm_used_mib,1788782105.0,74382.0
hbm_used_mib,1788782106.0,74382.0
hbm_used_mib,1788782107.0,74382.0
hbm_used_mib,1788782108.0,74382.0
hbm_used_mib,1788782109.0,74382.0
hbm_used_mib,1788782110.0,74382.0
hbm_used_mib,1788782111.0,74382.0
hbm_used_mib,1788782112.0,74382.0
hbm_used_mib,1788782113.0,74382.0
hbm_used_mib,1788782114.0,74382.0
hbm_used_mib,1788782115.0,74382.0
hbm_used_mib,1788782116.0,74382.0
hbm_used_mib,1788782117.0,74382.0
hbm_used_mib,1788782118.0,74382.0
hbm_used_mib,1788782119.0,74382.0
hbm_used_mib,1788782120.0,74382.0
hbm_used_mib,1788782121.0,74382.0
hbm_used_mib,1788782122.0,74382.0
hbm_used_mib,1788782123.0,74382.0
hbm_used_mib,1788782124.0,74382.0
hbm_used_mib,1788782125.0,74382.0
hbm_used_mib,1788782126.0,74382.0
hbm_used_mib,1788782127.0,74382.0
hbm_used_mib,1788782128.0,74382.0
hbm_used_mib,1788782129.0,74382.0
hbm_used_mib,1788782130.0,74382.0
hbm_used_mib,1788782131.0,74382.0
hbm_used_mib,1788782132.0,74382.0
hbm_used_mib,1788782133.0,74382.0
