timestamp, utilization.gpu [%], memory.used [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/09/10 04:28:29.740, 1 %, 531 MiB, 51, 110.37 W, 1410 MHz, 1512 MHz
2026/09/10 04:28:31.741, 0 %, 531 MiB, 51, 110.27 W, 1410 MHz, 1512 MHz
2026/09/10 04:28:33.745, 1 %, 527 MiB, 51, 111.95 W, 1410 MHz, 1512 MHz
2026/09/10 04:28:35.746, 0 %, 527 MiB, 51, 110.27 W, 1410 MHz, 1512 MHz
2026/09/10 04:28:37.747, 0 %, 529 MiB, 51, 108.99 W, 1410 MHz, 1512 MHz
2026/09/10 04:28:39.748, 1 %, 527 MiB, 51, 108.89 W, 1410 MHz, 1512 MHz
2026/09/10 04:28:41.750, 0 %, 527 MiB, 51, 109.02 W, 1410 MHz, 1512 MHz
2026/09/10 04:28:43.752, 0 %, 531 MiB, 51, 110.28 W, 1410 MHz, 1512 MHz
2026/09/10 04:28:45.753, 0 %, 529 MiB, 51, 108.82 W, 1410 MHz, 1512 MHz
2026/09/10 04:28:47.755, 0 %, 527 MiB, 51, 110.18 W, 1410 MHz, 1512 MHz
2026/09/10 04:28:49.756, 0 %, 531 MiB, 51, 110.27 W, 1410 MHz, 1512 MHz
2026/09/10 04:28:51.757, 1 %, 531 MiB, 51, 110.36 W, 1410 MHz, 1512 MHz
2026/09/10 04:28:53.758, 0 %, 531 MiB, 51, 110.27 W, 1410 MHz, 1512 MHz
2026/09/10 04:28:55.759, 0 %, 531 MiB, 51, 108.88 W, 1410 MHz, 1512 MHz
2026/09/10 04:28:57.760, 0 %, 537 MiB, 51, 110.47 W, 1410 MHz, 1512 MHz
2026/09/10 04:28:59.761, 0 %, 531 MiB, 51, 110.40 W, 1410 MHz, 1512 MHz
2026/09/10 04:29:01.762, 0 %, 531 MiB, 51, 111.36 W, 1410 MHz, 1512 MHz
2026/09/10 04:29:03.763, 0 %, 531 MiB, 51, 111.07 W, 1410 MHz, 1512 MHz
2026/09/10 04:29:05.764, 0 %, 537 MiB, 51, 115.08 W, 1410 MHz, 1512 MHz
2026/09/10 04:29:07.765, 0 %, 531 MiB, 51, 110.47 W, 1410 MHz, 1512 MHz
