timestamp, index, name, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], utilization.gpu [%]
2026/09/10 08:47:50.154, 1, NVIDIA A100-SXM4-80GB, 36, 88.23 W, 1140 MHz, 1593 MHz, 422 MiB, 0 %
2026/09/10 08:47:50.154, 2, NVIDIA A100-SXM4-80GB, 30, 65.06 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:47:50.155, 3, NVIDIA A100-SXM4-80GB, 28, 66.82 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:47:52.155, 0, NVIDIA A100-SXM4-80GB, 47, 94.31 W, 1140 MHz, 1593 MHz, 422 MiB, 0 %
2026/09/10 08:47:52.155, 1, NVIDIA A100-SXM4-80GB, 36, 88.23 W, 1140 MHz, 1593 MHz, 422 MiB, 0 %
2026/09/10 08:47:52.155, 2, NVIDIA A100-SXM4-80GB, 30, 65.12 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:47:52.155, 3, NVIDIA A100-SXM4-80GB, 28, 66.82 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:47:54.156, 0, NVIDIA A100-SXM4-80GB, 47, 94.31 W, 1140 MHz, 1593 MHz, 1102 MiB, 5 %
2026/09/10 08:47:54.156, 1, NVIDIA A100-SXM4-80GB, 36, 88.23 W, 1140 MHz, 1593 MHz, 1102 MiB, 0 %
2026/09/10 08:47:54.157, 2, NVIDIA A100-SXM4-80GB, 30, 65.06 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:47:54.157, 3, NVIDIA A100-SXM4-80GB, 28, 66.82 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:47:56.157, 0, NVIDIA A100-SXM4-80GB, 47, 94.58 W, 1140 MHz, 1593 MHz, 1748 MiB, 4 %
2026/09/10 08:47:56.158, 1, NVIDIA A100-SXM4-80GB, 37, 117.51 W, 1410 MHz, 1593 MHz, 1748 MiB, 88 %
2026/09/10 08:47:56.158, 2, NVIDIA A100-SXM4-80GB, 30, 65.06 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:47:56.158, 3, NVIDIA A100-SXM4-80GB, 28, 66.82 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:47:58.158, 0, NVIDIA A100-SXM4-80GB, 46, 93.98 W, 1140 MHz, 1593 MHz, 780 MiB, 0 %
2026/09/10 08:47:58.175, 1, NVIDIA A100-SXM4-80GB, 35, 88.23 W, 1140 MHz, 1593 MHz, 780 MiB, 0 %
2026/09/10 08:47:58.175, 2, NVIDIA A100-SXM4-80GB, 30, 65.06 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:47:58.175, 3, NVIDIA A100-SXM4-80GB, 28, 66.82 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:48:00.175, 0, NVIDIA A100-SXM4-80GB, 45, 75.32 W, 375 MHz, 1593 MHz, 0 MiB, 0 %
2026/09/10 08:48:00.176, 1, NVIDIA A100-SXM4-80GB, 35, 87.90 W, 1140 MHz, 1593 MHz, 0 MiB, 0 %
2026/09/10 08:48:00.176, 2, NVIDIA A100-SXM4-80GB, 30, 65.12 W, 210 MHz, 1593 MHz, 0 MiB, 0 %
2026/09/10 08:48:00.177, 3, NVIDIA A100-SXM4-80GB, 28, 66.82 W, 210 MHz, 1593 MHz, 0 MiB, 0 %
2026/09/10 08:48:02.178, 0, NVIDIA A100-SXM4-80GB, 44, 72.89 W, 210 MHz, 1593 MHz, 1 MiB, 0 %
2026/09/10 08:48:02.189, 1, NVIDIA A100-SXM4-80GB, 34, 67.59 W, 210 MHz, 1593 MHz, 0 MiB, 0 %
2026/09/10 08:48:02.194, 2, NVIDIA A100-SXM4-80GB, 30, 65.06 W, 210 MHz, 1593 MHz, 0 MiB, 0 %
2026/09/10 08:48:02.196, 3, NVIDIA A100-SXM4-80GB, 28, 66.82 W, 210 MHz, 1593 MHz, 0 MiB, 0 %
2026/09/10 08:48:04.198, 0, NVIDIA A100-SXM4-80GB, 45, 93.39 W, 1140 MHz, 1593 MHz, 422 MiB, 2 %
2026/09/10 08:48:04.199, 1, NVIDIA A100-SXM4-80GB, 34, 88.50 W, 1140 MHz, 1593 MHz, 422 MiB, 2 %
