configured_lambda_req_s,realized_lambda_req_s,request_id,workload_category,ttft_ms,mean_content_event_itl_ms,e2e_ms,output_tokens,ttft_slo_pass,itl_slo_pass,overall_slo_pass
0.6,0.5182815333905132,req_0056,short_interactive,16.707069997210056,7.367407049969188,164.2854960009572,20,1,1,1
0.6,0.5182815333905132,req_0323,knowledge_qa,14.105737005593255,7.728683159977663,980.4264970007353,125,1,1,1
0.6,0.5182815333905132,req_0238,short_interactive,14.967693998187315,8.038312534216395,1188.7438379999367,146,1,1,1
0.6,0.5182815333905132,req_0359,knowledge_qa,21.250833000522107,8.135502124997192,867.626619998191,104,1,1,1
0.6,0.5182815333905132,req_0032,short_interactive,13.668398998561315,7.937690313015563,1966.605902001902,246,1,1,1
0.6,0.5182815333905132,req_0630,coding_request,23.97348800150212,7.87074202816483,3377.1239560010144,426,1,1,1
0.6,0.5182815333905132,req_0904,long_output,14.369071999681182,8.239688628092447,4999.679918000766,605,1,1,1
0.6,0.5182815333905132,req_0690,document_qa,81.71399500133703,8.169018485620784,653.7310329949833,70,1,1,1
0.6,0.5182815333905132,req_0833,long_context_qa,215.2994950010907,7.718963695641952,393.05896400037454,23,1,1,1
0.6,0.5182815333905132,req_0092,short_interactive,14.182350001647137,7.960722234372497,2052.3554269966553,256,1,1,1
0.6,0.5182815333905132,req_0326,knowledge_qa,23.763003999192733,8.13508761717685,1065.2417929959483,128,1,1,1
0.6,0.5182815333905132,req_0208,short_interactive,117.46234200109029,8.59371719138835,2317.682146996958,256,1,1,1
0.6,0.5182815333905132,req_0710,document_qa,82.42413800326176,7.830930790312836,1053.6660409998149,124,1,1,1
0.6,0.5182815333905132,req_0717,document_qa,90.1438849978149,7.71736731112469,437.65840800188016,45,1,1,1
0.6,0.5182815333905132,req_0857,long_context_qa,408.8078319982742,7.9143111045175205,939.2628999994486,67,0,1,0
0.6,0.5182815333905132,req_0773,document_qa,108.69252299744403,7.751572470571024,504.22810400050366,51,1,1,1
0.6,0.5182815333905132,req_0719,document_qa,258.4585039949161,7.685798968850577,504.6278949957923,32,1,1,1
0.6,0.5182815333905132,req_0712,document_qa,82.57269100431586,7.864668544050405,1600.6926550035132,193,1,1,1
0.6,0.5182815333905132,req_0142,short_interactive,27.39815699897008,11.518640692184608,177.2988200027612,13,1,1,1
0.6,0.5182815333905132,req_0204,short_interactive,73.0087560004904,8.981731682531914,2336.8963399989298,252,1,1,1
0.6,0.5182815333905132,req_0530,coding_request,76.79143299901625,8.575794823265632,3910.4034439951647,447,1,1,1
0.6,0.5182815333905132,req_0878,long_context_qa,242.457986001682,7.904220389011446,384.97910799924284,18,1,1,1
0.6,0.5182815333905132,req_0319,knowledge_qa,14.153518997773062,7.706511725486695,800.4019689979032,102,1,1,1
0.6,0.5182815333905132,req_0451,knowledge_qa,14.00820400158409,7.497024107059198,224.162824000814,28,1,1,1
0.6,0.5182815333905132,req_0705,document_qa,91.37930799624883,9.436547244947679,553.9888170023914,49,1,1,1
0.6,0.5182815333905132,req_0408,knowledge_qa,13.936972994997632,7.617376750052547,379.77882099949056,48,1,1,1
0.6,0.5182815333905132,req_0435,knowledge_qa,13.720069000555668,7.715706453097937,1001.5654789967812,128,1,1,1
0.6,0.5182815333905132,req_0974,long_output,14.319171001261566,8.063937341057782,7320.473266998306,906,1,1,1
