op,rows,width,dtype,backend,phase,blocks,median_p50_us,median_p95_us,median_p50_ci_low_us,median_p50_ci_high_us,max_abs_error,peak_allocated_bytes,speedup_vs_eager_or_unfused,speedup_vs_compile_or_dense
rms,32,3584,torch.bfloat16,eager,forward_backward,5,77.41920053958893,77.8383994102478,77.40159928798676,77.48799920082092,0.0,3011072,1.0,0.1617169933465301
rms,32,3584,torch.bfloat16,liger,forward,5,2.545600011944771,2.6630399748682976,2.518399991095066,2.56159994751215,0.0,229888,12.265870642455987,1.8152106166090054
rms,32,3584,torch.bfloat16,liger,forward_backward,5,14.238400012254715,14.436320066452026,14.22400027513504,14.423999935388565,0.0,2029056,5.437352544735063,0.8793123052996588
rms,32,3584,torch.bfloat16,tilelang,forward,5,2.6895999908447266,2.871359968557954,2.683199942111969,2.703999914228916,0.0,229888,11.609161421859763,1.7180250531867742
rms,32,3584,torch.bfloat16,tilelang,forward_backward,5,8.772799745202065,8.895840272307396,8.769599720835686,8.7823998183012,0.0,466432,8.824913686412401,1.4271385079092567
rms,32,3584,torch.bfloat16,triton,forward,5,2.497600018978119,2.6643199659883976,2.4927999824285507,2.534399926662445,0.0,229888,12.501601624236104,1.8500961451837021
rms,32,3584,torch.bfloat16,triton,forward_backward,5,8.57279971241951,8.712480030953884,8.553600311279297,8.575999736785889,0.0,466432,9.030795438674588,1.4604330858700127
rms,32,3584,torch.float16,compile,forward,5,4.475199989974499,4.663839917629957,4.464000090956688,4.48479987680912,0.0009765625,229888,6.877011103824112,1.0
rms,32,3584,torch.float16,compile,forward_backward,5,12.188799679279327,12.686880342662333,12.18399964272976,12.195199728012085,0.0009765625,466432,6.282226445380766,1.0
rms,32,3584,torch.float16,eager,forward,5,30.776000022888184,30.98976045846939,30.753600597381592,30.983999371528625,0.0,2079232,1.0,0.14541200892404088
rms,32,3584,torch.float16,eager,forward_backward,5,76.57279968261719,76.81856006383896,76.56159996986389,76.596799492836,0.0,3011072,1.0,0.15917923505213444
rms,32,3584,torch.float16,liger,forward,5,2.5087999179959297,2.650560028851032,2.507199998944998,2.5248000398278236,0.0009765625,229888,12.267219797851617,1.7838010747183703
rms,32,3584,torch.float16,liger,forward_backward,5,13.90720009803772,14.234719872474669,13.900799304246902,13.916799426078796,0.0009765625,2029056,5.505982451019848,0.8764380747638156
rms,32,3584,torch.float16,tilelang,forward,5,2.6847999542951584,2.84400001168251,2.6736000552773476,2.7040000073611736,0.000244140625,229888,11.463051455156858,1.6668653404940088
rms,32,3584,torch.float16,tilelang,forward_backward,5,8.742400258779526,8.929439783096313,8.726400136947632,8.755199983716011,0.000244140625,466432,8.75878447749166,1.3942166131136318
rms,32,3584,torch.float16,triton,forward,5,2.5280000641942024,3.0992000363767125,2.521600015461445,2.5344000197947025,0.000244140625,229888,12.174050332826239,1.7702531156386518
rms,32,3584,torch.float16,triton,forward_backward,5,8.46719965338707,8.71984001249075,8.462399989366531,8.4927998483181,0.000244140625,466432,9.043462161895091,1.4395313891533825
