unix_ts,elapsed_s,utc_time,running_requests,waiting_requests,waiting_capacity,waiting_deferred,kv_cache_usage,preemptions_total,gpu_util_pct,fb_used_mb,power_w,gpu_temp_c,engine_up,dcgm_up
1788785830,92,2026-09-07 12:57:10+00:00,64.0,0.0,0.0,0.0,0.014706252517116436,0.0,96.0,74382.0,282.055,67.0,1.0,1.0
1788785831,93,2026-09-07 12:57:11+00:00,57.0,7.0,7.0,0.0,0.012491190092629889,0.0,98.0,74382.0,299.714,67.0,1.0,1.0
1788785832,94,2026-09-07 12:57:12+00:00,34.0,30.0,30.0,0.0,0.007173781715666516,0.0,99.0,74382.0,294.089,67.0,1.0,1.0
1788785833,95,2026-09-07 12:57:13+00:00,40.0,8.0,8.0,0.0,0.01004329440193319,0.0,100.0,74382.0,299.325,66.0,1.0,1.0
1788785834,96,2026-09-07 12:57:14+00:00,64.0,0.0,0.0,0.0,0.0164115988723319,0.0,100.0,74382.0,259.91,66.0,1.0,1.0
1788785835,97,2026-09-07 12:57:15+00:00,64.0,0.0,0.0,0.0,0.015291482078131247,0.0,100.0,74382.0,297.949,68.0,1.0,1.0
1788785836,98,2026-09-07 12:57:16+00:00,64.0,0.0,0.0,0.0,0.014209122029802623,0.0,97.0,74382.0,309.276,68.0,1.0,1.0
1788785837,99,2026-09-07 12:57:17+00:00,42.0,22.0,22.0,0.0,0.00900498389045512,0.0,99.0,74382.0,289.298,68.0,1.0,1.0
1788785838,100,2026-09-07 12:57:18+00:00,24.0,9.0,9.0,0.0,0.005392921868707212,0.0,99.0,74382.0,298.951,67.0,1.0,1.0
1788785839,101,2026-09-07 12:57:19+00:00,64.0,0.0,0.0,0.0,0.01666331051147807,0.0,99.0,74382.0,302.785,67.0,1.0,1.0
1788785840,102,2026-09-07 12:57:20+00:00,64.0,0.0,0.0,0.0,0.015505436971405606,0.0,100.0,74382.0,251.555,68.0,1.0,1.0
1788785841,103,2026-09-07 12:57:21+00:00,64.0,0.0,0.0,0.0,0.014139901329037419,0.0,100.0,74382.0,301.405,68.0,1.0,1.0
1788785842,104,2026-09-07 12:57:22+00:00,52.0,5.0,5.0,0.0,0.011685712847362084,0.0,100.0,74382.0,284.017,68.0,1.0,1.0
1788785843,105,2026-09-07 12:57:23+00:00,30.0,26.0,26.0,0.0,0.006815092629883224,0.0,100.0,74382.0,294.092,67.0,1.0,1.0
1788785844,106,2026-09-07 12:57:24+00:00,63.0,0.0,0.0,0.0,0.01649969794603301,0.0,100.0,74382.0,307.698,68.0,1.0,1.0
1788785845,107,2026-09-07 12:57:25+00:00,64.0,0.0,0.0,0.0,0.01582636931131698,0.0,100.0,74382.0,246.366,67.0,1.0,1.0
1788785846,108,2026-09-07 12:57:26+00:00,64.0,0.0,0.0,0.0,0.014523761578735361,0.0,100.0,74382.0,284.158,69.0,1.0,1.0
1788785847,109,2026-09-07 12:57:27+00:00,53.0,11.0,11.0,0.0,0.011434001208215916,0.0,98.0,74382.0,302.785,69.0,1.0,1.0
1788785848,110,2026-09-07 12:57:28+00:00,30.0,33.0,33.0,0.0,0.006355718888441442,0.0,100.0,74382.0,290.701,68.0,1.0,1.0
1788785849,111,2026-09-07 12:57:29+00:00,35.0,3.0,3.0,0.0,0.008621123640757178,0.0,100.0,74382.0,300.606,68.0,1.0,1.0
1788785850,112,2026-09-07 12:57:30+00:00,64.0,0.0,0.0,0.0,0.016329792589609315,0.0,100.0,74382.0,296.95,68.0,1.0,1.0
1788785851,113,2026-09-07 12:57:31+00:00,64.0,0.0,0.0,0.0,0.015197090213451503,0.0,100.0,74382.0,299.719,69.0,1.0,1.0
1788785852,114,2026-09-07 12:57:32+00:00,63.0,1.0,1.0,0.0,0.013680527587595637,0.0,100.0,74382.0,283.329,69.0,1.0,1.0
1788785853,115,2026-09-07 12:57:33+00:00,41.0,23.0,23.0,0.0,0.008734393878372937,0.0,99.0,74382.0,333.84,69.0,1.0,1.0
1788785854,116,2026-09-07 12:57:34+00:00,24.0,31.0,31.0,0.0,0.005531363270237621,0.0,100.0,74382.0,297.244,68.0,1.0,1.0
1788785855,117,2026-09-07 12:57:35+00:00,64.0,0.0,0.0,0.0,0.016669603302456704,0.0,100.0,74382.0,296.961,68.0,1.0,1.0
1788785856,118,2026-09-07 12:57:36+00:00,64.0,0.0,0.0,0.0,0.01557465767217081,0.0,100.0,74382.0,285.143,68.0,1.0,1.0
1788785857,119,2026-09-07 12:57:37+00:00,64.0,0.0,0.0,0.0,0.014555225533628646,0.0,100.0,74382.0,284.958,69.0,1.0,1.0
1788785858,120,2026-09-07 12:57:38+00:00,51.0,13.0,13.0,0.0,0.011024969794603323,0.0,97.0,74382.0,304.808,69.0,1.0,1.0
1788785859,121,2026-09-07 12:57:39+00:00,32.0,24.0,24.0,0.0,0.006903191703584333,0.0,100.0,74382.0,332.928,70.0,1.0,1.0
1788785860,122,2026-09-07 12:57:40+00:00,31.0,0.0,0.0,0.0,0.008123993153443365,0.0,100.0,74382.0,308.754,69.0,1.0,1.0
1788785861,123,2026-09-07 12:57:41+00:00,64.0,0.0,0.0,0.0,0.016046616995569862,0.0,100.0,74382.0,297.46,69.0,1.0,1.0
1788785862,124,2026-09-07 12:57:42+00:00,64.0,0.0,0.0,0.0,0.015064941602899729,0.0,100.0,74382.0,272.364,69.0,1.0,1.0
1788785863,125,2026-09-07 12:57:43+00:00,59.0,5.0,5.0,0.0,0.012925392670157021,0.0,98.0,74382.0,285.814,70.0,1.0,1.0
1788785864,126,2026-09-07 12:57:44+00:00,37.0,27.0,27.0,0.0,0.008048479661699526,0.0,98.0,74382.0,285.814,70.0,1.0,1.0
1788785865,127,2026-09-07 12:57:45+00:00,27.0,4.0,4.0,0.0,0.006374597261377346,0.0,100.0,74382.0,297.072,70.0,1.0,1.0
1788785866,128,2026-09-07 12:57:46+00:00,64.0,0.0,0.0,0.0,0.016329792589609315,0.0,100.0,74382.0,299.108,69.0,1.0,1.0
1788785867,129,2026-09-07 12:57:47+00:00,64.0,0.0,0.0,0.0,0.01548655859846959,0.0,100.0,74382.0,298.807,69.0,1.0,1.0
1788785868,130,2026-09-07 12:57:48+00:00,64.0,0.0,0.0,0.0,0.01403921667337893,0.0,100.0,74382.0,256.906,69.0,1.0,1.0
1788785869,131,2026-09-07 12:57:49+00:00,46.0,18.0,18.0,0.0,0.010011830447039904,0.0,100.0,74382.0,282.751,70.0,1.0,1.0
1788785870,132,2026-09-07 12:57:50+00:00,24.0,32.0,32.0,0.0,0.005323701167942008,0.0,97.0,74382.0,297.375,70.0,1.0,1.0
1788785871,133,2026-09-07 12:57:51+00:00,63.0,0.0,0.0,0.0,0.01662555376560615,0.0,100.0,74382.0,286.239,70.0,1.0,1.0
1788785872,134,2026-09-07 12:57:52+00:00,64.0,0.0,0.0,0.0,0.01558724325412808,0.0,99.0,74382.0,303.484,69.0,1.0,1.0
